,0,1,2
7,0.0021381073407169848,0.0013569358234009402,0.0008672064308337884
8,0.0019442462925798986,0.0016435268507225542,0.0006318454276881168
9,0.0027414779388307766,0.0027423838805264084,0.0017264498053501367
0,0.003779885085633264,0.003657294885963956,0.02675104393124087
1,0.003887516622049997,0.0024886982651278976,0.001589247178080648
2,0.0045793235484351295,0.0028637573747434656,0.015241323213801323
3,0.001722734098777243,0.001749235351400294,0.019875644868166245
4,0.0035485159039677153,0.003422610974701045,0.024361312824906334
5,0.0024777964822614578,0.0014114503784354237,0.0007418615549921919
6,0.0030759529334162474,0.0032345417600270986,0.02889391153100044
7,0.0028997255423813583,0.0016872456274910103,0.0010368497167372722
8,0.0032630157411433084,0.0023473698000254354,0.0007773178602966125
9,0.0032742062240154433,0.0027952020870478595,0.001776516872069548
0,0.005119308362267769,0.005492021145520821,0.03204592663330231
1,0.002428180283046573,0.0011408582715223402,0.0008306914458858399
2,0.00461678629450932,0.0031375860141815335,0.014396198380152244
3,0.001722734098777243,0.001749235351400294,0.019875644868166245
4,0.0035485159039677153,0.003422610974701045,0.024361312824906334
5,0.002531281270415299,0.0015240879771432566,0.0007959024899462056
6,0.0027733353505905263,0.002359889384024662,0.014380580405941578
7,0.0035197754063721093,0.001997505827858907,0.001154526420771447
8,0.004504731506919653,0.0026247058407826047,0.0008438674772421163
9,0.0032332313706360536,0.0029056405532354194,0.0017072159196256345
0,0.005119308362267769,0.005492021145520821,0.03204592663330231
1,0.002202289038927818,0.001191459104926028,0.0008179920196644456
2,0.0037390611402765357,0.002649684748787359,0.012026631458511544
3,0.0015299401763884768,0.0015635723328046964,0.011972461201711823
4,0.0035485159039677153,0.003422610974701045,0.024361312824906334
5,0.002544141305287706,0.0015338700863007275,0.0007765440152104218
6,0.0037292351595551417,0.002735450718376273,0.022585796512382635
7,0.0037997779693971327,0.0017296886923593184,0.0009985606646084094
8,0.003937897367164683,0.0024019410535070207,0.0007974952665371672
9,0.0032332313706360536,0.0029056405532354194,0.0017072159196256345
0,0.0046886706992604645,0.0049064251172498425,0.028649388234557507
1,0.00303114316728081,0.0018130273911274673,0.0011822972757369865
2,0.002970391370581922,0.001949509407532664,0.00709091020545585
3,0.0015299401763884768,0.0015635723328046964,0.011972461201711823
4,0.0035485159039677153,0.003422610974701045,0.024361312824906334
5,0.0019518560228044325,0.0013763732689377692,0.0007145077421641495
6,0.0030656952113487373,0.0024506181512142966,0.015843060622885735
7,0.002551176258781519,0.0017814684117734843,0.0010293465460667925
8,0.003937897367164683,0.0024019410535070207,0.0007974952665371672
9,0.0034947213721892604,0.0034545136725856337,0.001990812885632497
0,0.0046886706992604645,0.0049064251172498425,0.028649388234557507
1,0.0045552767794334904,0.0023441796748359584,0.0016030073911983552
2,0.00318510767020723,0.002268606602176296,0.00725724558884744
3,0.002063387840635707,0.0014716735159881343,0.01037890413821121
4,0.004067813368282023,0.0036403141301790333,0.03225020389775286
